sym,entry_time,entry_price,risk_unit,reward_ratio,stop_price,target_price,exit_time,exit_price,mfe,mae,win,loss,breakeven,ru_return,shares,risk_amount,gross_returns,account_balance
NTES,2020-01-27 09:41:00-05:00,64.29,0.33,5.0,63.96,65.94,2020-01-27 09:46:00-05:00,63.96,64.56,63.96,0,1,0,-1.0,1515.15,500.0,-500.0,99500.0
DOCU,2020-02-03 10:11:00-05:00,80.0,0.26,5.0,79.74,81.3,2020-02-03 10:50:00-05:00,79.74,80.66,79.74,0,1,0,-1.0,1913.46,497.5,-497.5,99002.5
QCOM,2020-02-10 09:35:00-05:00,86.8,0.22,5.0,86.58,87.9,2020-02-10 10:09:00-05:00,87.9,87.9,86.74,1,0,0,5.0,2250.05,495.01,2475.05,101477.55
QCOM,2020-02-21 10:45:00-05:00,87.47,0.29,5.0,87.18,88.92,2020-02-21 12:55:00-05:00,87.18,88.37,87.18,0,1,0,-1.0,1749.62,507.39,-507.39,100970.16
MRNA,2020-02-24 09:45:00-05:00,19.01,0.3,5.0,18.71,20.51,2020-02-24 11:01:00-05:00,18.71,19.05,18.71,0,1,0,-1.0,1682.83,504.85,-504.85,100465.31
GILD,2020-02-25 12:01:00-05:00,70.56,0.2,5.0,70.36,71.56,2020-02-25 12:07:00-05:00,70.36,70.61,70.36,0,1,0,-1.0,2511.65,502.33,-502.33,99962.98
GILD,2020-02-27 12:00:00-05:00,74.25,0.22,5.0,74.03,75.35,2020-02-27 12:41:00-05:00,74.03,74.98,74.03,0,1,0,-1.0,2271.86,499.81,-499.81,99463.17
MRNA,2020-02-28 10:55:00-05:00,23.15,0.22,5.0,22.93,24.25,2020-02-28 12:02:00-05:00,22.93,23.77,22.93,0,1,0,-1.0,2260.55,497.32,-497.32,98965.85
QCOM,2020-03-03 10:00:00-05:00,80.41,0.24,5.0,80.17,81.61,2020-03-03 10:00:00-05:00,81.61,81.61,80.33,1,0,0,5.0,2061.79,494.83,2474.15,101440.0
GILD,2020-03-03 11:45:00-05:00,73.08,0.27,5.0,72.81,74.43,2020-03-03 13:24:00-05:00,72.81,73.94,72.81,0,1,0,-1.0,1832.7,494.83,-494.83,100945.17
ATVI,2020-03-04 09:45:00-05:00,60.0,0.2,5.0,59.8,61.0,2020-03-04 12:14:00-05:00,61.0,61.0,59.83,1,0,0,5.0,2523.65,504.73,2523.65,103468.82
QCOM,2020-03-04 10:50:00-05:00,79.64,0.21,5.0,79.43,80.69,2020-03-04 10:53:00-05:00,79.43,79.73,79.43,0,1,0,-1.0,2403.48,504.73,-504.73,102964.09
DOCU,2020-03-04 11:25:00-05:00,86.54,0.2,5.0,86.34,87.54,2020-03-04 12:52:00-05:00,87.54,87.54,86.4,1,0,0,5.0,2523.65,504.73,2523.65,105487.74
AMAT,2020-03-05 10:00:00-05:00,58.93,0.2,5.0,58.73,59.93,2020-03-05 10:22:00-05:00,59.93,59.93,58.84,1,0,0,5.0,2637.2,527.44,2637.2,108124.94
DOCU,2020-03-05 10:01:00-05:00,88.18,0.32,5.0,87.86,89.78,2020-03-05 10:49:00-05:00,89.78,89.78,87.95,1,0,0,5.0,1648.25,527.44,2637.2,110762.14
GILD,2020-03-10 11:40:00-04:00,68.99,0.24,5.0,68.75,70.19,2020-03-10 12:01:00-04:00,70.19,70.19,68.86,1,0,0,5.0,2307.54,553.81,2769.05,113531.19
ATVI,2020-03-12 10:15:00-04:00,56.58,0.33,5.0,56.25,58.23,2020-03-12 10:16:00-04:00,56.25,56.74,56.25,0,1,0,-1.0,1720.18,567.66,-567.66,112963.53
GILD,2020-03-16 10:15:00-04:00,67.97,0.27,5.0,67.7,69.32,2020-03-16 10:25:00-04:00,69.32,69.32,67.73,1,0,0,5.0,2091.93,564.82,2824.1,115787.63
QCOM,2020-03-16 10:55:00-04:00,67.7,0.46,5.0,67.24,70.0,2020-03-16 11:37:00-04:00,70.0,70.0,67.3,1,0,0,5.0,1227.87,564.82,2824.1,118611.73
GILD,2020-03-17 09:35:00-04:00,70.12,0.93,5.0,69.19,74.77,2020-03-17 11:05:00-04:00,74.77,74.77,69.67,1,0,0,5.0,637.7,593.06,2965.3,121577.03
GILD,2020-03-20 09:35:00-04:00,79.75,0.84,5.0,78.91,83.95,2020-03-20 11:07:00-04:00,78.91,81.59,78.91,0,1,0,-1.0,723.68,607.89,-607.89,120969.14
TSLA,2020-03-20 10:10:00-04:00,87.69,0.78,5.0,86.91,91.59,2020-03-20 10:33:00-04:00,91.59,91.59,87.5,1,0,0,5.0,779.35,607.89,3039.45,124008.59
ATVI,2020-03-24 11:40:00-04:00,54.7,0.45,5.0,54.25,56.95,2020-03-24 13:50:00-04:00,54.25,55.86,54.25,0,1,0,-1.0,1377.87,620.04,-620.04,123388.55
NTES,2020-03-25 10:05:00-04:00,64.36,0.24,5.0,64.12,65.56,2020-03-25 10:08:00-04:00,64.12,64.58,64.12,0,1,0,-1.0,2570.58,616.94,-616.94,122771.61
QCOM,2020-03-27 09:45:00-04:00,66.73,0.36,5.0,66.37,68.53,2020-03-27 10:26:00-04:00,66.37,67.76,66.37,0,1,0,-1.0,1705.17,613.86,-613.86,122157.75
AMAT,2020-03-27 10:15:00-04:00,47.84,0.22,5.0,47.62,48.94,2020-03-27 10:26:00-04:00,47.62,48.0,47.62,0,1,0,-1.0,2790.27,613.86,-613.86,121543.89
MRNA,2020-03-30 10:14:00-04:00,30.55,0.29,5.0,30.26,32.0,2020-03-30 10:19:00-04:00,30.26,30.63,30.26,0,1,0,-1.0,2095.59,607.72,-607.72,120936.17
AMAT,2020-04-01 09:35:00-04:00,43.86,0.35,5.0,43.51,45.61,2020-04-01 10:15:00-04:00,45.61,45.61,43.65,1,0,0,5.0,1727.66,604.68,3023.4,123959.57
GILD,2020-04-01 10:41:00-04:00,73.64,0.24,5.0,73.4,74.84,2020-04-01 10:45:00-04:00,73.4,73.69,73.4,0,1,0,-1.0,2519.5,604.68,-604.68,123354.89
GILD,2020-04-02 10:05:00-04:00,72.59,0.2,5.0,72.39,73.59,2020-04-02 10:35:00-04:00,73.59,73.59,72.5,1,0,0,5.0,3083.85,616.77,3083.85,126438.74
TSLA,2020-04-02 10:10:00-04:00,96.12,0.51,5.0,95.61,98.67,2020-04-02 10:13:00-04:00,95.61,96.24,95.61,0,1,0,-1.0,1209.35,616.77,-616.77,125821.97
